classification,ax,ay,az,gx,gy,gz,ax2,ay2,az2,gx2,gy2,gz2,mx,my,mz,steps,temp
3,4128,6442,-9045,9404,-22222,9569,-7096,-1320,-13284,-1846,-8816,694,85,64645,356,7,-5392
3,-13914,-568,-15964,-1506,-1150,755,-13564,1868,-9096,-2432,779,-126,46,64625,303,7,-5408
3,-10788,1935,-14257,-647,-557,-195,-11544,2968,-10176,-136,20,-220,32,64633,303,7,-5360
3,-11763,1795,-13558,-588,119,429,-11956,3240,-10112,-474,116,-299,25,64631,306,7,-5392
3,-11813,1745,-13733,-48,9,-391,-12020,3332,-9736,-564,-249,-310,26,64630,299,7,-5392
3,-11843,1911,-13278,-509,123,60,-12084,3568,-9916,-240,-128,-225,27,64632,302,7,-5392
3,-11980,1920,-13562,77,-220,-33,-11860,3532,-9704,-271,118,-99,21,64631,304,7,-5376
3,-11684,2167,-13526,24,181,187,-11952,3960,-9560,-703,-40,-36,24,64633,298,7,-5408
3,-11777,2306,-13612,-270,55,133,-11968,3824,-9996,-460,79,-352,19,64632,303,7,-5392
3,-11482,2773,-13366,56,-510,553,-12024,4060,-10264,-242,317,-270,25,64634,305,7,-5376
3,-11780,2390,-13603,50,50,17,-12068,4008,-9588,-412,-156,1,21,64633,307,7,-5408
3,-11717,2359,-13682,-68,14,-70,-11964,4156,-9752,-271,-144,-68,27,64634,302,7,-5392
3,-11674,2427,-13665,-168,103,49,-11832,3960,-9540,-284,-94,-137,24,64635,303,7,-5376
3,-11728,2487,-13398,-280,147,-10,-11860,3832,-9664,-263,7,-224,27,64633,307,7,-5392
3,-11939,2311,-13731,-503,-25,95,-11712,4832,-9804,-464,485,689,2,64637,300,7,-5408
3,-11563,4318,-13596,-1483,-12,-227,-11836,4984,-9528,-429,267,268,3,64639,297,7,-5376
3,-11377,3512,-12914,-79,-317,-213,-11960,5648,-9012,-949,-237,542,65530,64640,287,7,-5392
3,-11662,3833,-13143,107,-130,63,-11636,5288,-9224,-169,-297,-268,65534,64637,291,7,-5424
4,14700,-4957,-4182,-4701,-6023,5610,9460,-9392,-12404,4607,-14073,-9552,238,65142,595,7,-5408
4,-4874,-29699,-11461,-29890,-23539,-32768,-4880,5016,-19768,-5641,2475,7203,111,65292,588,7,-5424
4,3877,7934,-14769,-17576,14781,13098,12764,-6084,-3552,-1845,1021,3068,168,101,355,7,-5408
4,15357,-2941,-116,-4346,283,-531,16928,-4104,-3648,-867,854,-981,115,110,358,7,-5424
4,15095,-1311,335,-7033,-6216,5738,10252,-11512,-6960,8262,-21834,-9796,282,65136,577,7,-5456
4,-32691,6539,-22534,16255,-12045,-19377,-3808,-660,-14172,-924,-453,1354,181,65224,596,7,-5472
4,-7474,5827,-18474,-20121,13220,23915,15456,-6900,-10924,-2759,11103,6542,192,87,358,7,-5408
4,11971,-2634,348,-7045,1544,-135,13324,-5428,-4468,-2017,-1025,1018,149,98,361,7,-5440
4,14546,-2886,-1488,-8517,-1681,3729,9288,-10588,-5948,9070,-22780,-7757,201,65197,600,7,-5440
